epoch,step,test_loss,train_loss,val_loss
0,6,,,9865.255859375
0,6,,10730.0048828125,
1,13,,,9699.212890625
1,13,,10172.8642578125,
2,20,,,9528.16796875
2,20,,10003.0693359375,
3,27,,,9355.443359375
3,27,,9831.7998046875,
4,34,,,9176.7958984375
4,34,,9650.6904296875,
5,41,,,8991.326171875
5,41,,9465.6103515625,
6,48,,,8799.5048828125
6,48,,9272.19140625,
7,55,,,8603.4560546875
7,55,,9073.5009765625,
8,62,,,8400.833984375
8,62,,8873.55859375,
9,69,,,8196.208984375
9,69,,8663.2822265625,
10,76,,,7986.33837890625
10,76,,8455.2568359375,
11,83,,,7775.30419921875
11,83,,8238.04296875,
12,90,,,7561.150390625
12,90,,8020.76806640625,
13,97,,,7347.16162109375
13,97,,7794.697265625,
14,104,,,7128.79833984375
14,104,,7580.4716796875,
15,111,,,6912.50146484375
15,111,,7352.1953125,
16,118,,,6696.548828125
16,118,,7129.20166015625,
17,125,,,6479.37255859375
17,125,,6905.54931640625,
18,132,,,6261.72998046875
18,132,,6684.07568359375,
19,139,,,6048.67822265625
19,139,,6456.04296875,
20,146,,,5835.04052734375
20,146,,6238.7080078125,
21,153,,,5622.82958984375
21,153,,6024.33642578125,
22,160,,,5419.125
22,160,,5801.9462890625,
23,167,,,5218.310546875
23,167,,5593.60888671875,
24,174,,,5021.73046875
24,174,,5383.10107421875,
25,181,,,4829.783203125
25,181,,5181.38427734375,
26,188,,,4642.0244140625
26,188,,4987.1728515625,
27,195,,,4459.66259765625
27,195,,4795.40087890625,
28,202,,,4287.09033203125
28,202,,4602.90771484375,
29,209,,,4119.7734375
29,209,,4424.5068359375,
30,216,,,3957.688720703125
30,216,,4251.6591796875,
31,223,,,3802.4775390625
31,223,,4083.51806640625,
32,230,,,3651.913330078125
32,230,,3924.844482421875,
33,237,,,3509.641357421875
33,237,,3769.225830078125,
34,244,,,3377.887939453125
34,244,,3618.85498046875,
35,251,,,3250.397705078125
35,251,,3482.423828125,
36,258,,,3130.764404296875
36,258,,3348.864013671875,
37,265,,,3017.16796875
37,265,,3223.40673828125,
38,272,,,2911.740234375
38,272,,3106.17529296875,
39,279,,,2813.768310546875
39,279,,2993.158935546875,
40,286,,,2736.518310546875
40,286,,2883.73486328125,
41,293,,,2625.3681640625
41,293,,2782.138427734375,
42,300,,,2533.89453125
42,300,,2657.245849609375,
43,307,,,2392.999755859375
43,307,,2581.671142578125,
44,314,,,2267.68359375
44,314,,2439.963134765625,
45,321,,,2180.911865234375
45,321,,2355.81005859375,
46,328,,,2083.34716796875
46,328,,2260.173828125,
47,335,,,2016.2701416015625
47,335,,2171.841064453125,
48,342,,,1932.2662353515625
48,342,,2064.615478515625,
49,349,,,1866.4801025390625
49,349,,1992.2266845703125,
50,356,,,1788.5322265625
50,356,,1902.3984375,
51,363,,,1725.3385009765625
51,363,,1825.8330078125,
52,370,,,1659.06640625
52,370,,1754.0150146484375,
53,377,,,1604.9608154296875
53,377,,1711.7962646484375,
54,384,,,1570.2694091796875
54,384,,1659.131103515625,
55,391,,,1502.2633056640625
55,391,,1572.19873046875,
56,398,,,1452.88427734375
56,398,,1535.151123046875,
57,405,,,1408.6357421875
57,405,,1471.279541015625,
58,412,,,1353.100830078125
58,412,,1455.5831298828125,
59,419,,,1320.605224609375
59,419,,1415.564208984375,
60,426,,,1260.7039794921875
60,426,,1350.7369384765625,
61,433,,,1232.67626953125
61,433,,1347.7117919921875,
62,440,,,1215.6644287109375
62,440,,1317.2890625,
63,447,,,1115.19384765625
63,447,,1283.6380615234375,
64,454,,,1099.3837890625
64,454,,1261.0296630859375,
65,461,,,1080.47021484375
65,461,,1209.6510009765625,
66,468,,,1067.464599609375
66,468,,1190.3228759765625,
67,475,,,1072.277099609375
67,475,,1174.671142578125,
68,482,,,1098.804443359375
68,482,,1182.3980712890625,
69,489,,,1078.15478515625
69,489,,1161.7744140625,
70,496,,,1048.39697265625
70,496,,1126.803955078125,
71,503,,,974.2233276367188
71,503,,1106.31640625,
72,510,,,920.9376831054688
72,510,,1098.748779296875,
73,517,,,916.9636840820312
73,517,,1087.64111328125,
74,524,,,939.8224487304688
74,524,,1067.6844482421875,
75,531,,,959.7312622070312
75,531,,1077.482177734375,
76,538,,,945.1115112304688
76,538,,1061.3724365234375,
77,545,,,909.39111328125
77,545,,1051.8497314453125,
78,552,,,883.6155395507812
78,552,,1034.2391357421875,
79,559,,,874.2238159179688
79,559,,1035.8922119140625,
80,566,,,881.9840698242188
80,566,,1033.257568359375,
81,573,,,909.525390625
81,573,,1018.3514404296875,
82,580,,,892.6364135742188
82,580,,1014.1511840820312,
83,587,,,890.2454223632812
83,587,,1011.2034912109375,
84,594,,,881.1244506835938
84,594,,996.7643432617188,
85,601,,,909.4513549804688
85,601,,1004.9176635742188,
86,608,,,866.93896484375
86,608,,1015.0856323242188,
87,615,,,883.4303588867188
87,615,,1004.3388061523438,
88,622,,,835.6882934570312
88,622,,979.8259887695312,
89,629,,,869.41552734375
89,629,,972.6229858398438,
90,636,,,889.1572265625
90,636,,946.7944946289062,
91,643,,,878.98876953125
91,643,,971.2144775390625,
92,650,,,876.0437622070312
92,650,,953.621337890625,
93,657,,,896.66455078125
93,657,,949.1524658203125,
94,664,,,867.267333984375
94,664,,945.2007446289062,
95,671,,,886.9855346679688
95,671,,925.7413940429688,
96,678,,,873.7753295898438
96,678,,929.9612426757812,
97,685,,,838.2024536132812
97,685,,918.7096557617188,
98,692,,,866.34814453125
98,692,,916.36669921875,
99,693,nan,,
