epoch,step,train_loss,val_loss
0,6,,9839.015625
0,6,10797.2431640625,
1,13,,9655.2578125
1,13,10133.8681640625,
2,20,,9485.126953125
2,20,9966.7421875,
3,27,,9311.064453125
3,27,9795.1103515625,
4,34,,9132.341796875
4,34,9612.7685546875,
5,41,,8947.345703125
5,41,9427.15625,
6,48,,8755.80859375
6,48,9227.9228515625,
7,55,,8558.607421875
7,55,9031.6748046875,
8,62,,8356.40625
8,62,8827.84765625,
9,69,,8151.56787109375
9,69,8618.369140625,
10,76,,7941.88916015625
10,76,8407.6513671875,
11,83,,7729.79150390625
11,83,8191.9814453125,
12,90,,7516.46337890625
12,90,7967.92041015625,
13,97,,7297.89990234375
13,97,7756.7958984375,
14,104,,7082.103515625
14,104,7528.875,
15,111,,6864.11474609375
15,111,7307.7353515625,
16,118,,6646.80322265625
16,118,7082.29931640625,
17,125,,6428.8203125
17,125,6864.2314453125,
18,132,,6216.25537109375
18,132,6633.205078125,
19,139,,6004.50927734375
19,139,6414.9443359375,
20,146,,5793.38818359375
20,146,6197.24462890625,
21,153,,5585.341796875
21,153,5978.712890625,
22,160,,5380.931640625
22,160,5762.45068359375,
23,167,,5180.33984375
23,167,5554.70458984375,
24,174,,4986.3193359375
24,174,5346.19873046875,
25,181,,4795.38720703125
25,181,5147.61083984375,
26,188,,4609.4931640625
26,188,4950.615234375,
27,195,,4431.17333984375
27,195,4755.8564453125,
28,202,,4257.478515625
28,202,4573.84521484375,
29,209,,4087.96484375
29,209,4397.23779296875,
30,216,,3927.065185546875
30,216,4222.34130859375,
31,223,,3774.690673828125
31,223,4053.578369140625,
32,230,,3627.2021484375
32,230,3897.29296875,
33,237,,3490.079833984375
33,237,3742.13916015625,
34,244,,3358.7880859375
34,244,3598.057861328125,
35,251,,3232.87890625
35,251,3461.149658203125,
36,258,,3113.266845703125
36,258,3331.324951171875,
37,265,,3003.077880859375
37,265,3202.946044921875,
38,272,,2898.692138671875
38,272,3090.6337890625,
39,279,,2801.048095703125
39,279,2979.531982421875,
40,286,,2709.8525390625
40,286,2879.60498046875,
41,293,,2627.36669921875
41,293,2781.4638671875,
42,300,,2549.355224609375
42,300,2694.59326171875,
43,307,,2461.88330078125
43,307,2607.9052734375,
44,314,,2283.779052734375
44,314,2481.93603515625,
45,321,,2303.113037109375
45,321,2373.32177734375,
46,328,,2178.911865234375
46,328,2378.83544921875,
47,335,,2051.3203125
47,335,2242.020263671875,
48,342,,1930.279296875
48,342,2106.701416015625,
49,349,,1886.31884765625
49,349,2036.92578125,
50,356,,1834.7095947265625
50,356,1946.9210205078125,
51,363,,1756.0133056640625
51,363,1871.90234375,
52,370,,1690.1663818359375
52,370,1789.97412109375,
53,377,,1634.6488037109375
53,377,1720.11572265625,
54,384,,1582.2752685546875
54,384,1651.2769775390625,
55,391,,1523.3525390625
55,391,1632.8604736328125,
56,398,,1385.0478515625
56,398,1571.10595703125,
57,405,,1342.469970703125
57,405,1536.8939208984375,
58,412,,1297.968505859375
58,412,1454.02685546875,
59,419,,1292.3013916015625
59,419,1414.7901611328125,
60,426,,1258.39404296875
60,426,1388.73095703125,
61,433,,1302.3226318359375
61,433,1364.40234375,
62,440,,1255.25732421875
62,440,1345.81494140625,
63,447,,1227.0576171875
63,447,1353.9892578125,
64,454,,1209.0408935546875
64,454,1306.7984619140625,
